Problem Name	Difficulty	Intermediate Max Time	Advanced Max Time	Top of the Crop Max Time	Problem Pattern	Link
Concatenation of Array	Easy	15	10	5	Arrays & Hashing	https://neetcode.io/problems/concatenation-of-array?list=neetcode250
Contains Duplicate	Easy	15	10	5	Arrays & Hashing	https://neetcode.io/problems/duplicate-integer?list=neetcode250
Valid Anagram	Easy	18	10	6	Arrays & Hashing	https://neetcode.io/problems/is-anagram?list=neetcode250
Two Sum	Easy	25	15	8	Arrays & Hashing	https://neetcode.io/problems/two-integer-sum?list=neetcode250
Longest Common Prefix	Easy	20	12	8	Arrays & Hashing	https://neetcode.io/problems/longest-common-prefix?list=neetcode250
Group Anagrams	Medium	40	28	18	Arrays & Hashing	https://neetcode.io/problems/anagram-groups?list=neetcode250
Remove Element	Easy	15	10	5	Arrays & Hashing	https://neetcode.io/problems/remove-element?list=neetcode250
Majority Element	Easy	20	12	8	Arrays & Hashing	https://neetcode.io/problems/majority-element?list=neetcode250
Design HashSet	Easy	25	15	10	Arrays & Hashing	https://neetcode.io/problems/design-hashset?list=neetcode250
Design HashMap	Easy	25	15	10	Arrays & Hashing	https://neetcode.io/problems/design-hashmap?list=neetcode250
Sort an Array	Medium	35	25	18	Arrays & Hashing	https://neetcode.io/problems/sort-an-array?list=neetcode250
Sort Colors	Medium	35	25	18	Arrays & Hashing	https://neetcode.io/problems/sort-colors?list=neetcode250
Top K Frequent Elements	Medium	38	28	18	Arrays & Hashing	https://neetcode.io/problems/top-k-elements-in-list?list=neetcode250
Encode and Decode Strings	Medium	40	28	20	Arrays & Hashing	https://neetcode.io/problems/string-encode-and-decode?list=neetcode250
Range Sum Query 2D Immutable	Medium	35	25	18	Arrays & Hashing	https://neetcode.io/problems/range-sum-query-2d-immutable?list=neetcode250
Product of Array Except Self	Medium	45	30	20	Arrays & Hashing	https://neetcode.io/problems/products-of-array-discluding-self?list=neetcode250
Valid Sudoku	Medium	45	35	20	Arrays & Hashing	https://neetcode.io/problems/valid-sudoku?list=neetcode250
Longest Consecutive Sequence	Medium	40	28	20	Arrays & Hashing	https://neetcode.io/problems/longest-consecutive-sequence?list=neetcode250
Best Time to Buy And Sell Stock II	Medium	30	20	15	Arrays & Hashing	https://neetcode.io/problems/best-time-to-buy-and-sell-stock-ii?list=neetcode250
Majority Element II	Medium	40	28	20	Arrays & Hashing	https://neetcode.io/problems/majority-element-ii?list=neetcode250
Subarray Sum Equals K	Medium	45	32	24	Arrays & Hashing	https://neetcode.io/problems/subarray-sum-equals-k?list=neetcode250
