Problem Name	Difficulty	Intermediate Max Time	Advanced Max Time	Top of the Crop Max Time	Problem Pattern	Link
Maximum Product Subarray	Medium	50	35	25	1-D Dynamic Programming	https://neetcode.io/problems/maximum-product-subarray?list=blind75
Word Break	Medium	50	35	25	1-D Dynamic Programming	https://neetcode.io/problems/word-break?list=blind75
Longest Increasing Subsequence	Medium	50	35	25	1-D Dynamic Programming	https://neetcode.io/problems/longest-increasing-subsequence?list=blind75
Unique Paths	Medium	35	22	15	2-D Dynamic Programming	https://neetcode.io/problems/count-paths?list=blind75
Longest Common Subsequence	Medium	45	30	20	2-D Dynamic Programming	https://neetcode.io/problems/longest-common-subsequence?list=blind75
Maximum Subarray	Medium	35	25	15	Greedy	https://neetcode.io/problems/maximum-subarray?list=blind75
Jump Game	Medium	35	25	18	Greedy	https://neetcode.io/problems/jump-game?list=blind75
Insert Interval	Medium	45	30	22	Intervals	https://neetcode.io/problems/insert-new-interval?list=blind75
Merge Intervals	Medium	35	25	18	Intervals	https://neetcode.io/problems/merge-intervals?list=blind75
Non Overlapping Intervals	Medium	45	32	22	Intervals	https://neetcode.io/problems/non-overlapping-intervals?list=blind75
Meeting Rooms	Easy	20	12	8	Intervals	https://neetcode.io/problems/meeting-schedule?list=blind75
Meeting Rooms II	Medium	45	32	22	Intervals	https://neetcode.io/problems/meeting-schedule-ii?list=blind75
Rotate Image	Medium	40	28	20	Math & Geometry	https://neetcode.io/problems/rotate-matrix?list=blind75
Spiral Matrix	Medium	50	35	25	Math & Geometry	https://neetcode.io/problems/spiral-matrix?list=blind75
Set Matrix Zeroes	Medium	45	30	22	Math & Geometry	https://neetcode.io/problems/set-zeroes-in-matrix?list=blind75
Number of 1 Bits	Easy	18	12	8	Bit Manipulation	https://neetcode.io/problems/number-of-one-bits?list=blind75
Counting Bits	Easy	30	20	15	Bit Manipulation	https://neetcode.io/problems/counting-bits?list=blind75
Reverse Bits	Easy	25	15	10	Bit Manipulation	https://neetcode.io/problems/reverse-bits?list=blind75
Missing Number	Easy	20	12	8	Bit Manipulation	https://neetcode.io/problems/missing-number?list=blind75
Sum of Two Integers	Medium	45	30	22	Bit Manipulation	https://neetcode.io/problems/sum-of-two-integers?list=blind75
