Problem Name	Difficulty	Intermediate Max Time	Advanced Max Time	Top of the Crop Max Time	Problem Pattern	Link
Delete Nodes From Linked List Present in Array	Medium	0	0	0	Linked List	https://leetcode.com/problems/delete-nodes-from-linked-list-present-in-array/
Swapping Nodes in a Linked List	Medium	0	0	0	Linked List	https://leetcode.com/problems/swapping-nodes-in-a-linked-list/
Copy List With Random Pointer	Medium	45	35	20	Linked List	https://neetcode.io/problems/copy-linked-list-with-random-pointer/question?list=allNC
Design Linked List	Medium	0	0	0	Linked List	https://leetcode.com/problems/design-linked-list/
Design Browser History	Medium	0	0	0	Linked List	https://leetcode.com/problems/design-browser-history/
Add Two Numbers	Medium	45	35	20	Linked List	https://neetcode.io/problems/add-two-numbers/question?list=allNC
Add Two Numbers II	Medium	0	0	0	Linked List	https://neetcode.io/problems/add-two-numbers-ii/question?list=allNC
Find The Duplicate Number	Medium	45	35	20	Linked List	https://neetcode.io/problems/find-duplicate-integer/question?list=allNC
Swap Nodes In Pairs	Medium	0	0	0	Linked List	https://leetcode.com/problems/swap-nodes-in-pairs/
Sort List	Medium	0	0	0	Linked List	https://leetcode.com/problems/sort-list/
Partition List	Medium	0	0	0	Linked List	https://leetcode.com/problems/partition-list/
Rotate List	Medium	0	0	0	Linked List	https://neetcode.io/problems/rotate-list/question?list=allNC
Reverse Linked List II	Medium	40	28	20	Linked List	https://neetcode.io/problems/reverse-linked-list-ii/question?list=allNC
Design Circular Queue	Medium	40	28	20	Linked List	https://neetcode.io/problems/design-circular-queue/question?list=allNC
Insertion Sort List	Medium	0	0	0	Linked List	https://neetcode.io/problems/insertion-sort-list/question?list=allNC
Split Linked List in Parts	Medium	0	0	0	Linked List	https://leetcode.com/problems/split-linked-list-in-parts/
LRU Cache	Medium	45	35	20	Linked List	https://neetcode.io/problems/lru-cache/question?list=allNC
Insert into a Sorted Circular Linked List	Medium	0	0	0	Linked List	https://neetcode.io/problems/insert-into-a-sorted-circular-linked-list/question?list=allNC
Plus One Linked List	Medium	0	0	0	Linked List	https://neetcode.io/problems/plus-one-linked-list/question?list=allNC
Print Immutable Linked List in Reverse	Medium	0	0	0	Linked List	https://neetcode.io/problems/print-immutable-linked-list-in-reverse/question?list=allNC
LFU Cache	Hard	85	60	45	Linked List	https://neetcode.io/problems/lfu-cache/question?list=allNC
Merge K Sorted Lists	Hard	65	45	32	Linked List	https://neetcode.io/problems/merge-k-sorted-linked-lists/question?list=allNC
Reverse Nodes In K Group	Hard	60	45	30	Linked List	https://neetcode.io/problems/reverse-nodes-in-k-group/question?list=allNC
Binary Tree Inorder Traversal	Easy	18	12	7	Trees	https://neetcode.io/problems/binary-tree-inorder-traversal/question?list=allNC
Binary Tree Preorder Traversal	Easy	18	12	7	Trees	https://neetcode.io/problems/binary-tree-preorder-traversal/question?list=allNC
Binary Tree Postorder Traversal	Easy	18	12	7	Trees	https://neetcode.io/problems/binary-tree-postorder-traversal/question?list=allNC
N-ary Tree Postorder Traversal	Easy	0	0	0	Trees	https://neetcode.io/problems/n-ary-tree-postorder-traversal/question?list=allNC
Invert Binary Tree	Easy	18	10	6	Trees	https://neetcode.io/problems/invert-a-binary-tree/question?list=allNC
Maximum Depth of Binary Tree	Easy	18	10	6	Trees	https://neetcode.io/problems/depth-of-binary-tree/question?list=allNC
Diameter of Binary Tree	Easy	30	20	10	Trees	https://neetcode.io/problems/binary-tree-diameter/question?list=allNC
Balanced Binary Tree	Easy	30	20	10	Trees	https://neetcode.io/problems/balanced-binary-tree/question?list=allNC
Same Tree	Easy	20	12	8	Trees	https://neetcode.io/problems/same-binary-tree/question?list=allNC
Subtree of Another Tree	Easy	30	20	15	Trees	https://neetcode.io/problems/subtree-of-a-binary-tree/question?list=allNC
Convert Sorted Array to Binary Search Tree	Easy	0	0	0	Trees	https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/
Merge Two Binary Trees	Easy	0	0	0	Trees	https://neetcode.io/problems/merge-two-binary-trees/question?list=allNC
Path Sum	Easy	0	0	0	Trees	https://neetcode.io/problems/path-sum/question?list=allNC
Range Sum of BST	Easy	0	0	0	Trees	https://neetcode.io/problems/range-sum-of-bst/question?list=allNC
Leaf-Similar Trees	Easy	0	0	0	Trees	https://leetcode.com/problems/leaf-similar-trees/
Evaluate Boolean Binary Tree	Easy	0	0	0	Trees	https://leetcode.com/problems/evaluate-boolean-binary-tree/
Closest Binary Search Tree Value	Easy	0	0	0	Trees	https://neetcode.io/problems/closest-binary-search-tree-value/question?list=allNC
Create Binary Tree From Descriptions	Medium	0	0	0	Trees	https://leetcode.com/problems/create-binary-tree-from-descriptions/
Populating Next Right Pointers In Each Node	Medium	0	0	0	Trees	https://neetcode.io/problems/populating-next-right-pointers-in-each-node/question?list=allNC
Binary Tree Vertical Order Traversal	Medium	0	0	0	Trees	https://neetcode.io/problems/binary-tree-vertical-order-traversal/question?list=allNC
Construct String From Binary Tree	Medium	0	0	0	Trees	https://leetcode.com/problems/construct-string-from-binary-tree/
Lowest Common Ancestor of a Binary Tree	Medium	0	0	0	Trees	https://neetcode.io/problems/lowest-common-ancestor-of-a-binary-tree/question?list=allNC
Lowest Common Ancestor of a Binary Tree III	Medium	0	0	0	Trees	https://neetcode.io/problems/lowest-common-ancestor-of-a-binary-tree-iii/question?list=allNC
Lowest Common Ancestor of a Binary Search Tree	Medium	35	25	18	Trees	https://neetcode.io/problems/lowest-common-ancestor-in-binary-search-tree/question?list=allNC
