Problem Name	Difficulty	Intermediate Max Time	Advanced Max Time	Top of the Crop Max Time	Problem Pattern	Link
Validate Binary Search Tree	Medium	40	28	20	Trees	https://neetcode.io/problems/valid-binary-search-tree?list=neetcode150
Kth Smallest Element In a Bst	Medium	35	25	18	Trees	https://neetcode.io/problems/kth-smallest-integer-in-bst?list=neetcode150
Construct Binary Tree From Preorder And Inorder Traversal	Medium	50	35	25	Trees	https://neetcode.io/problems/binary-tree-from-preorder-and-inorder-traversal?list=neetcode150
Binary Tree Maximum Path Sum	Hard	65	48	35	Trees	https://neetcode.io/problems/binary-tree-maximum-path-sum?list=neetcode150
Serialize And Deserialize Binary Tree	Hard	70	50	38	Trees	https://neetcode.io/problems/serialize-and-deserialize-binary-tree?list=neetcode150
Kth Largest Element In a Stream	Easy	30	20	10	Heap / Priority Queue	https://neetcode.io/problems/kth-largest-integer-in-a-stream?list=neetcode150
Last Stone Weight	Easy	30	20	10	Heap / Priority Queue	https://neetcode.io/problems/last-stone-weight?list=neetcode150
K Closest Points to Origin	Medium	45	35	20	Heap / Priority Queue	https://neetcode.io/problems/k-closest-points-to-origin?list=neetcode150
Kth Largest Element In An Array	Medium	45	35	20	Heap / Priority Queue	https://neetcode.io/problems/kth-largest-element-in-an-array?list=neetcode150
Task Scheduler	Medium	45	35	20	Heap / Priority Queue	https://neetcode.io/problems/task-scheduling?list=neetcode150
Design Twitter	Medium	45	35	20	Heap / Priority Queue	https://neetcode.io/problems/design-twitter-feed?list=neetcode150
Find Median From Data Stream	Hard	65	48	35	Heap / Priority Queue	https://neetcode.io/problems/find-median-in-a-data-stream?list=neetcode150
Subsets	Medium	45	35	20	Backtracking	https://neetcode.io/problems/subsets?list=neetcode150
Combination Sum	Medium	45	35	20	Backtracking	https://neetcode.io/problems/combination-target-sum?list=neetcode150
Combination Sum II	Medium	45	35	20	Backtracking	https://neetcode.io/problems/combination-target-sum-ii?list=neetcode150
Permutations	Medium	45	35	20	Backtracking	https://neetcode.io/problems/permutations?list=neetcode150
Subsets II	Medium	45	35	20	Backtracking	https://neetcode.io/problems/subsets-ii?list=neetcode150
Generate Parentheses	Medium	45	35	20	Backtracking	https://neetcode.io/problems/generate-parentheses?list=neetcode150
Word Search	Medium	55	40	28	Backtracking	https://neetcode.io/problems/search-for-word?list=neetcode150
Palindrome Partitioning	Medium	45	35	20	Backtracking	https://neetcode.io/problems/palindrome-partitioning?list=neetcode150
Letter Combinations of a Phone Number	Medium	45	35	20	Backtracking	https://neetcode.io/problems/combinations-of-a-phone-number?list=neetcode150
N Queens	Hard	60	45	30	Backtracking	https://neetcode.io/problems/n-queens?list=neetcode150
Implement Trie Prefix Tree	Medium	45	32	22	Tries	https://neetcode.io/problems/implement-prefix-tree?list=neetcode150
Design Add And Search Words Data Structure	Medium	50	35	25	Tries	https://neetcode.io/problems/design-word-search-data-structure?list=neetcode150
Word Search II	Hard	75	55	40	Tries	https://neetcode.io/problems/search-for-word-ii?list=neetcode150
Number of Islands	Medium	35	25	18	Graphs	https://neetcode.io/problems/count-number-of-islands?list=neetcode150
Max Area of Island	Medium	45	35	20	Graphs	https://neetcode.io/problems/max-area-of-island?list=neetcode150
Clone Graph	Medium	40	28	20	Graphs	https://neetcode.io/problems/clone-graph?list=neetcode150
Walls And Gates	Medium	45	35	20	Graphs	https://neetcode.io/problems/islands-and-treasure?list=neetcode150
Rotting Oranges	Medium	45	35	20	Graphs	https://neetcode.io/problems/rotting-fruit?list=neetcode150
Pacific Atlantic Water Flow	Medium	55	40	30	Graphs	https://neetcode.io/problems/pacific-atlantic-water-flow?list=neetcode150
